Koordinatensystem : Lambert konform konisch
Rechtswert        : 4021500 Meter
Hochwert          : 2690500 Meter
Hoehenlage        : 213 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Sommer
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4021500 2690500  1  5 14   0.6  996  76  5.3 8  3.6  90    0   49 305 -321  0
4021500 2690500  1  5 15   0.6  995  77  5.7 8  3.6  90    0   39 306 -321  0
4021500 2690500  1  5 16   0.8  995  70  5.5 8  3.6  89    0   20 306 -321  0
4021500 2690500  1  5 17   0.7  995  63  4.8 7  3.6  89    0    0 298 -320  0
4021500 2690500  1  5 18   0.6  995  76  4.5 8  3.6  90    0    0 298 -319  0
4021500 2690500  1  5 19   0.5  995  64  5.1 8  3.6  90    0    0 304 -318  0
4021500 2690500  1  5 20   0.2  995  63  5.1 8  3.6  91    0    0 304 -318  0
4021500 2690500  1  5 21  -0.1  995  59  4.6 7  3.5  92    0    0 296 -318  0
4021500 2690500  1  5 22   0.5  994  60  4.0 8  3.5  90    0    0 295 -317  0
4021500 2690500  1  5 23  -0.1  995  68  4.4 7  3.5  89    0    0 295 -317  0
4021500 2690500  1  5 24   0.1  994  77  4.5 8  3.5  90    0    0 294 -317  0
4021500 2690500  1  6  1  -0.2  995  83  4.0 8  3.4  89    0    0 297 -317  0
4021500 2690500  1  6  2  -0.1  995  85  3.6 8  3.4  89    0    0 297 -317  0
4021500 2690500  1  6  3  -0.3  994  64  4.1 8  3.4  90    0    0 297 -316  0
4021500 2690500  1  6  4  -0.2  995  66  4.9 8  3.4  91    0    0 296 -316  0
4021500 2690500  1  6  5  -0.3  995  80  4.9 8  3.5  92    0    0 296 -316  0
4021500 2690500  1  6  6  -0.2  995  85  4.6 7  3.5  93    0    0 291 -316  0
4021500 2690500  1  6  7  -0.1  995  80  4.7 8  3.5  93    0    0 291 -315  0
4021500 2690500  1  6  8   0.0  995  61  4.6 8  3.6  93    0    0 296 -315  0
4021500 2690500  1  6  9  -0.2  996  61  4.9 8  3.6  94    0    0 295 -315  0
4021500 2690500  1  6 10  -0.1  996  61  4.9 8  3.6  94    0   32 295 -316  0
4021500 2690500  1  6 11  -0.2  997  61  5.0 7  3.6  94    0   40 291 -318  0
4021500 2690500  1  6 12   0.1  997  60  4.4 8  3.6  94    0   39 291 -320  0
4021500 2690500  1  6 13  -0.2  997  50  4.2 8  3.6  94    0   41 295 -321  0
4021500 2690500  1  6 14   0.2  997  53  4.3 8  3.6  93    0   34 295 -321  0
4021500 2690500  1  6 15  -0.1  997  51  4.2 8  3.6  92    0   33 296 -321  0
4021500 2690500  1  6 16  -0.5  997  65  4.0 8  3.5  94    0   13 295 -321  0
4021500 2690500  1  6 17  -0.3  998  56  4.2 8  3.5  94    0    0 295 -321  0
4021500 2690500  1  6 18  -0.3  998  59  4.0 8  3.5  93    0    0 295 -320  0
4021500 2690500  1  6 19  -0.8  998  77  4.3 8  3.5  94    0    0 294 -320  0
