Koordinatensystem : Lambert konform konisch
Rechtswert        : 4021500 Meter
Hochwert          : 2690500 Meter
Hoehenlage        : 213 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : extremer Winter
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
4021500 2690500  1  7  6  -6.7  982 276  1.9 7  2.0  85    0    0 235 -281  0
4021500 2690500  1  7  7  -6.9  982 319  1.8 8  2.0  86    0    0 239 -280  0
4021500 2690500  1  7  8  -6.7  982 300  2.2 8  2.0  87    0    0 244 -277  0
4021500 2690500  1  7  9  -6.7  983 266  1.6 8  2.0  86    0    8 245 -269  0
4021500 2690500  1  7 10  -6.1  984 300  1.0 8  2.0  84    7   53 245 -263  0
4021500 2690500  1  7 11  -6.2  984 109  0.9 8  2.1  84   13   94 246 -268  0
4021500 2690500  1  7 12  -6.0  984 116  1.0 7  2.1  87   39  134 243 -279  0
4021500 2690500  1  7 13  -5.3  985  46  1.3 8  2.2  85   11  124 244 -288  0
4021500 2690500  1  7 14  -4.4  985 255  1.5 6  2.2  81   32  128 242 -292  0
4021500 2690500  1  7 15  -4.5  985  30  1.0 3  2.2  78   61  100 221 -294  0
4021500 2690500  1  7 16  -5.9  985  25  0.8 2  2.1  80   16   48 205 -294  0
4021500 2690500  1  7 17  -6.2  985 351  0.9 2  2.1  87    0    0 200 -292  0
4021500 2690500  1  7 18  -7.7  986 103  0.7 1  2.1  91    0    0 194 -290  0
4021500 2690500  1  7 19  -8.8  987 153  1.1 3  1.9  92    0    0 190 -288  0
4021500 2690500  1  7 20  -9.4  988 144  0.9 3  1.8  92    0    0 191 -286  0
4021500 2690500  1  7 21  -9.8  988 198  0.3 2  1.7  91    0    0 179 -285  0
4021500 2690500  1  7 22 -11.8  988 170  1.1 0  1.5  88    0    0 161 -285  0
4021500 2690500  1  7 23 -10.8  989 198  0.5 0  1.4  87    0    0 156 -284  0
4021500 2690500  1  7 24 -12.6  989 132  0.7 0  1.4  89    0    0 163 -282  0
4021500 2690500  1  8  1 -13.0  990 134  0.8 4  1.3  87    0    0 181 -282  0
4021500 2690500  1  8  2 -12.9  990 122  0.8 4  1.2  87    0    0 200 -282  0
4021500 2690500  1  8  3 -12.7  990 113  1.3 5  1.3  88    0    0 205 -282  0
4021500 2690500  1  8  4 -11.9  991 177  0.6 6  1.3  88    0    0 214 -283  0
4021500 2690500  1  8  5 -10.9  991 150  0.4 7  1.4  88    0    0 222 -283  0
4021500 2690500  1  8  6  -9.8  991  92  1.0 7  1.6  88    0    0 229 -284  0
4021500 2690500  1  8  7  -9.3  991  55  1.3 8  1.6  87    0    0 236 -285  0
4021500 2690500  1  8  8  -7.9  991  92  3.4 8  1.8  88    0    0 244 -284  0
4021500 2690500  1  8  9  -7.9  992  83  3.9 7  1.9  89    0    2 245 -284  0
4021500 2690500  1  8 10  -7.5  992  83  4.9 6  2.0  90    0   25 237 -284  0
4021500 2690500  1  8 11  -7.4  993  85  4.9 8  2.0  90    0   53 242 -285  0
4021500 2690500  1  8 12  -7.5  993  83  5.1 8  2.0  90    0   73 251 -286  0
4021500 2690500  1  8 13  -7.4  992  78  5.7 8  2.0  91    1  100 252 -287  0
4021500 2690500  1  8 14  -6.9  992  81  5.0 8  2.1  91    2  101 254 -286  0
4021500 2690500  1  8 15  -6.8  991  73  5.2 8  2.1  92    3   79 257 -285  0
4021500 2690500  1  8 16  -6.6  991  85  6.6 8  2.2  93    0   35 259 -284  0
4021500 2690500  1  8 17  -6.2  991  79  5.8 8  2.2  93    0    0 260 -283  0
4021500 2690500  1  8 18  -6.4  991  58  8.1 7  2.2  93    0    0 257 -282  0
4021500 2690500  1  8 19  -6.5  991  62  7.4 8  2.2  92    0    0 256 -282  0
4021500 2690500  1  8 20  -6.2  991  54  7.2 8  2.2  91    0    0 260 -282  0
4021500 2690500  1  8 21  -6.0  991  50  7.7 8  2.2  90    0    0 262 -281  0
4021500 2690500  1  8 22  -5.8  991  45  8.3 7  2.2  90    0    0 259 -281  0
4021500 2690500  1  8 23  -5.4  990  46  8.9 6  2.3  90    0    0 251 -281  0
4021500 2690500  1  8 24  -5.1  990  58  8.9 8  2.4  90    0    0 257 -282  0
4021500 2690500  1  9  1  -4.9  990  56  8.9 6  2.4  90    0    0 257 -282  0
4021500 2690500  1  9  2  -5.0  989  64  9.0 7  2.4  91    0    0 254 -283  0
4021500 2690500  1  9  3  -4.6  989  63  8.3 6  2.5  91    0    0 254 -283  0
4021500 2690500  1  9  4  -4.3  988  63  9.2 7  2.5  91    0    0 256 -283  0
4021500 2690500  1  9  5  -4.0  988  63  8.3 6  2.6  92    0    0 258 -283  0
4021500 2690500  1  9  6  -3.6  987  63  9.0 5  2.7  92    0    0 250 -284  0
4021500 2690500  1  9  7  -3.6  987  63  9.8 7  2.7  92    0    0 256 -285  0
4021500 2690500  1  9  8  -3.6  987  62  9.9 8  2.7  92    0    0 270 -285  0
4021500 2690500  1  9  9  -3.5  987  53  9.1 8  2.7  91    0    8 274 -285  0
4021500 2690500  1  9 10  -3.3  987  53  9.7 8  2.7  90    0   32 276 -286  0
4021500 2690500  1  9 11  -3.1  987  53  9.8 8  2.7  89    0   25 276 -288  0
4021500 2690500  1  9 12  -3.1  987  61  9.9 8  2.7  88    0   28 278 -291  0
4021500 2690500  1  9 13  -3.1  986  62  9.3 8  2.7  88    0   32 279 -294  0
4021500 2690500  1  9 14  -3.1  986  62  8.3 8  2.7  87    0   27 280 -296  0
4021500 2690500  1  9 15  -3.2  985  62  9.0 8  2.7  86    0   46 280 -296  0
4021500 2690500  1  9 16  -3.3  985  61  8.8 8  2.7  87   10   52 280 -296  0
4021500 2690500  1  9 17  -3.5  985  61  7.8 8  2.7  88    0    0 279 -296  0
4021500 2690500  1  9 18  -3.6  985  60  7.7 8  2.6  88    0    0 278 -296  0
